Advertisement,Advertisement No,Advertisement Date,Location,Price,Gross Area,Net Area,Age,Room,Floor,Heating,Furnished,House URL
"ŞERİFALİ, TATLISU MAH. SELECTIVE PRESTIGE SATILIK 3+1",Portföy No: P44081136,02-13-2025,İstanbul Anadolu / Ümraniye/ Tatlısu Mah.,8.400.000 ₺,129,96,8,3+1,5,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P44081136
Ataşehir Dumankaya İkon Yüksek Kat Büyük Tip Satılık 1+1 Daire,Portföy No: P24170285,02-13-2025,İstanbul Anadolu / Ataşehir/ Örnek Mah.,4.800.000 ₺,62,42,10-15,1+1,38,Merkezi (Pay Ölçer),Evet,https://www.remax.com.tr/portfoy/P24170285
Parseller Mah. Satılık 2+1 Teraslı Daire Metro 5 Dk Yürüme Mes.,Portföy No: P07728873,02-13-2025,İstanbul Anadolu / Ümraniye/ Parseller Mah.,3.100.000 ₺,135,115,21-25,2+1,Çatı Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P07728873
KARTAL YAKACIK SİTE İÇERİSİNDE DENİZ MANZARALI 2+1 SATILIK DAİRE,Portföy No: P82604014,02-13-2025,İstanbul Anadolu / Kartal/ Yakacık Yeni Mah.,5.190.000 ₺,90,80,1,2+1,4,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P82604014
KADIKÖY EĞİTİM ZİVERBEY BALKONLU 3+1 SATILIK DAİRE /MAYIS TESLİM,Portföy No: P24254675,02-13-2025,İstanbul Anadolu / Kadıköy/ Eğitim Mah.,14.850.000 ₺,133,100,0,3+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P24254675
REMAX PROF BURAK KARABULUT'TAN SARAYPARK SİTESİNDE 2+1 DAİRE,Portföy No: P56421362,02-13-2025,İstanbul Anadolu / Sancaktepe/ Kemal Türkler Mah.,5.100.000 ₺,100,77,10-15,2+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P56421362
OKSİJEN PARK GÖZDAĞI 4+1 DENİZ MANZARALI SATILIK DAİRE,Portföy No: P43241730,02-13-2025,İstanbul Anadolu / Pendik/ Dumlupınar Mah.,9.500.000 ₺,223,158,1,4+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P43241730
E5 MARMARAY VE METROYA YAKIN LOKASYANDA 1+1 GİRİŞ KAT DAİRE,Portföy No: P77538647,02-13-2025,İstanbul Anadolu / Pendik/ Kavakpınar Mah.,1.400.000 ₺,60,55,26-30,1+1,Giriş Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P77538647
KARTAL SOĞANLIK SIFIR 3+1 SATILIK DAİRE,Portföy No: P37405467,02-13-2025,İstanbul Anadolu / Kartal/ Soğanlık Yeni Mah.,6.400.000 ₺,100,80,1,3+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P37405467
"MARMARAY VE CADDEYE YÜRÜME MESAFELİ,GENİŞ KULLANIMLI 4+1 DUBLEKS",Portföy No: P63343816,02-13-2025,İstanbul Anadolu / Maltepe/ Feyzullah Mah.,10.400.000 ₺,220,180,5,4+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P63343816
"PETROLİŞ MAH YANIBAŞINDA, 2+1 DAİRE",Portföy No: P87028484,02-13-2025,İstanbul Anadolu / Kartal/ Karlıktepe Mah.,5.250.000 ₺,90,80,2,2+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P87028484
"SAHİLİN HEMEN YANIBAŞINDA,YERDEN ISITMA SİS. SIFIR ARA KAT 3+1",Portföy No: P33485232,02-13-2025,İstanbul Anadolu / Pendik/ Batı Mah.,8.000.000 ₺,125,98,1,3+1,2,Yerden Isıtma,Hayır,https://www.remax.com.tr/portfoy/P33485232
RESİM İSTANBUL SİTESİ 2+1 SATILIK DAİRE,Portföy No: P47432078,02-13-2025,İstanbul Anadolu / Sancaktepe/ Fatih Mah.,7.550.000 ₺,126,82,9,2+1,1,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P47432078
ÇINARKÖY EMLAKKONUT ''YÜKSEK VADELİ ÖDEME PLANIYLA'' (4+1 DAİRE),Portföy No: P44143627,02-13-2025,İstanbul Anadolu / Çekmeköy/ Kirazlıdere Mah.,16.900.000 ₺,192,138,1,4+1,5,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P44143627
REMAX TAN KARTAL YALI MAHALLESİNDE SATILIK 2+1 DAİRE,Portföy No: P31717222,02-13-2025,İstanbul Anadolu / Kartal/ Yalı Mah.,4.225.000 ₺,90,70,1,2+1,Yüksek Giriş,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P31717222
"METROYA YÜRÜME MESAFELİ,1,99 KREDİ ORANI AVANTAJLI 3+1 DUBLEKS",Portföy No: P16631424,02-13-2025,İstanbul Anadolu / Kartal/ Hürriyet Mah.,6.500.000 ₺,170,153,1,3+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P16631424
Ümraniye Tantavi Beyce Konaklarında Satılık Ebeveyn Banyolu 3+1,Portföy No: P75855004,02-13-2025,İstanbul Anadolu / Ümraniye/ Tantavi Mah.,9.750.000 ₺,100,85,5,3+1,1,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P75855004
PENDİK DENİZ MANZARALI SIFIR 650 M2 9+2 SATILIK 2 AYRI DAİRE,Portföy No: P76880165,02-13-2025,İstanbul Anadolu / Pendik/ Batı Mah.,125.000.000 ₺,650,590,4,9+2,5,Yerden Isıtma,Hayır,https://www.remax.com.tr/portfoy/P76880165
SANCAKTEPE EVRE GEDİZLER 2. ETAPTA 2. KATTA GENİŞ 2+1 İLE BAHÇE KEYFİ,Portföy No: P75214057,02-13-2025,İstanbul Anadolu / Sancaktepe/ Abdurrahmangazi Mah.,8.200.000 ₺,118,90,8,2+1,2,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P75214057
EVRE2 GEDİZLERDE NEFİS MANZARALI 3+1 DAİRE,Portföy No: P42702514,02-13-2025,İstanbul Anadolu / Sancaktepe/ Abdurrahmangazi Mah.,9.990.000 ₺,141,110,8,3+1,4,Yerden Isıtma,Hayır,https://www.remax.com.tr/portfoy/P42702514
ESİN GÜNEŞ'DEN KARTAL YALI MAHALLESİ YENİ BİNADA SATILIK 2+1,Portföy No: P61442164,02-13-2025,İstanbul Anadolu / Kartal/ Yalı Mah.,5.500.000 ₺,85,65,0,2+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P61442164
EKŞİOĞLU BURHANİYE KONAKLARI 2+1 GİRİŞ KAT,Portföy No: P55176566,02-13-2025,İstanbul Anadolu / Üsküdar/ Burhaniye Mah.,4.250.000 ₺,55,47,5,2+1,Giriş Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P55176566
KİPTAŞ ADATEPE SİTESİNDE SATILIK 2+1 DAİRE,Portföy No: P48613324,02-13-2025,İstanbul Anadolu / Maltepe/ Zümrütevler Mah.,7.300.000 ₺,110,90,10-15,2+1,Bahçe Katı,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P48613324
ÖZELLİKLE YATIRIMCILAR İÇİN KADIKÖY MERKEZİ KONUMDA SATILIK 2+1  DAİRE,Portföy No: P16710013,02-13-2025,İstanbul Anadolu / Kadıköy/ Osmanağa Mah.,3.700.000 ₺,94,75,30+,2+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P16710013
TEK YETKİLİ REMAX 7TEPE'DEN ACARKENT ACARBLU SATILIK 2+1 DAİRE,Portföy No: P04544566,02-13-2025,İstanbul Anadolu / Beykoz/ Acarlar Mah.,27.000.000 ₺,175,141,16-20,2+1,1,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P04544566
TEK YETKİLİ ACARBLU REZİDANS'DA SATILIK 3+1 DAİRE,Portföy No: P54864871,02-13-2025,İstanbul Anadolu / Beykoz/ Acarlar Mah.,37.500.000 ₺,267,216,5,3+1,16,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P54864871
REMAX 7 TEPE'DEN BOĞAZÜSTÜ EVLERİ'NDE SATILIK DAİRE,Portföy No: 4014s3651421527,02-13-2025,İstanbul Anadolu / Beykoz/ Acarlar Mah.,32.000.000 ₺,265,225,21-25,4+1,Giriş Katı,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/4014s3651421527
TEK YETKİLİ REMAX 7 TEPE’DEN ACARBLU SATILIK 3+1 DAİRE,Portföy No: P58622170,02-13-2025,İstanbul Anadolu / Beykoz/ Acarlar Mah.,41.000.000 ₺,279,218,6,3+1,11,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P58622170
Maltepe Bağlarbaşı Mahallesinde 3+1 Oturuma Hazır Satılık Daire,Portföy No: P82747362,02-13-2025,İstanbul Anadolu / Maltepe/ Bağlarbaşı Mah.,3.890.000 ₺,130,110,21-25,3+1,5,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P82747362
CUMHURIYET'TE MANZARALI VE GENIŞ TERASLI 4+1 DUBLEKS,Portföy No: P11540058,02-13-2025,İstanbul Anadolu / Üsküdar/ Cumhuriyet Mah.,7.750.000 ₺,180,150,16-20,4+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P11540058
NURAN KARABAŞ GLOW3 SITESINDE SATILIK 1+1 GLOW 3 ELTES WHITESIDE,Portföy No: P84358555,02-13-2025,İstanbul Anadolu / Ümraniye/ Esenşehir Mah.,5.280.000 ₺,71,50,10-15,1+1,14,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P84358555
METROYA YAKIN BAHÇE KATI SATILIK 2+1 DAİRE,Portföy No: P84137670,02-13-2025,İstanbul Anadolu / Ümraniye/ Armağanevler Mah.,2.750.000 ₺,65,55,10-15,2+1,Bahçe Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P84137670
TUZLA PORT LIFE SATILIK 2+1 DAIRE,Portföy No: P12431677,02-13-2025,İstanbul Anadolu / Tuzla/ Evliya Çelebi Mah.,5.500.000 ₺,100,78,10-15,2+1,3,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P12431677
MALTEPE GÜLENSU'DA DENİZ VE ADALAR MANZARALI YATIRIMLIK 3+1 DAİRE,Portföy No: P77675222,02-13-2025,İstanbul Anadolu / Maltepe/ Gülensu Mah.,4.250.000 ₺,140,105,26-30,3+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P77675222
Remax Öncü'den Mehmet Akif Mah' de 2+1 Satılık Daire,Portföy No: P64587455,02-13-2025,İstanbul Anadolu / Ümraniye/ Mehmet Akif Mah.,3.600.000 ₺,110,90,16-20,2+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P64587455
OKSIJENPARK SITESINDE 1+1 TERASLI KEYIFLI DAIRE,Portföy No: P42652452,02-13-2025,İstanbul Anadolu / Pendik/ Dumlupınar Mah.,3.750.000 ₺,65,50,1,1+1,Bahçe Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P42652452
Pendik MSY NEFES Sitesi Havuz Cepheli 3+1 Satılık Daire,Portföy No: P51244621,02-13-2025,İstanbul Anadolu / Pendik/ Çınardere Mah.,**** ₺,120,100,2,3+1,1,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P51244621
MALTEPE YALI MAHALLESİNDE DENİZ MANZARALI SATILIK 4+1 DAİRE,Portföy No: P66277226,02-13-2025,İstanbul Anadolu / Maltepe/ Yalı Mah.,8.150.000 ₺,150,120,21-25,4+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P66277226
TUZLA ADRES LOBI SATILIK 1+1 DAİRE,Portföy No: P53001667,02-13-2025,İstanbul Anadolu / Tuzla/ Aydınlı Mah.,3.400.000 ₺,58,42,10-15,1+1,7,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P53001667
HORAN SİTESİ SATILIK  DAİRE....,Portföy No: P88618825,02-13-2025,İstanbul Anadolu / Pendik/ Harmandere Mah.,5.250.000 ₺,170,150,21-25,4+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P88618825
SATILIK ÜST DUBLEKS DAİRE 4+1 BOŞ OTURUMA HAZIR,Portföy No: P76234326,02-13-2025,İstanbul Anadolu / Sultanbeyli/ Adil Mah.,4.250.000 ₺,130,120,8,4+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P76234326
SATILIK 2+1 BAKIMLI DAİRE AHMETYESEVI MAHALLESİ,Portföy No: P13654388,02-13-2025,İstanbul Anadolu / Sultanbeyli/ Ahmet Yesevi Mah.,2.475.000 ₺,100,90,21-25,2+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P13654388
SATILIK HAMİDİYE MAHALLESİ 3+1 55 M2 HİSSE PAYLI SATILIK DAİRE,Portföy No: P84722553,02-13-2025,İstanbul Anadolu / Sultanbeyli/ Hamidiye Mah.,2.475.000 ₺,120,110,30+,3+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P84722553
Remax Ahmet Şimşek Pendik Demir Garden Satılık Büyük Tip 3+1,Portföy No: P58214245,02-13-2025,İstanbul Anadolu / Pendik/ Harmandere Mah.,12.600.000 ₺,163,109,1,3+1,1,Yerden Isıtma,Hayır,https://www.remax.com.tr/portfoy/P58214245
Remax Ahmet Şimşek Sancaktepe Tepe Evleri Satılık 2+1 Boş Daire,Portföy No: P80870781,02-13-2025,İstanbul Anadolu / Sancaktepe/ Safa Mah.,4.675.000 ₺,117,85,8,2+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P80870781
SULTANBEYLİ HAMİDİYE MAHALLESİ SATILIK 3+1 DAİRE!,Portföy No: P61548415,02-13-2025,İstanbul Anadolu / Sultanbeyli/ Hamidiye Mah.,3.950.000 ₺,100,88,1,3+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P61548415
Sultanbeyli Yavuzselim Mahallesi'nde Lüks 3+1 Daireler,Portföy No: P63277220,02-13-2025,İstanbul Anadolu / Sultanbeyli/ Hamidiye Mah.,4.500.000 ₺,120,100,1,3+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P63277220
ŞERIFALI MAHALLESI ANFORA KONUTLARI 3+1 BALKONLU İSKANLI 155 M2,Portföy No: P16085155,02-13-2025,İstanbul Anadolu / Ümraniye/ Şerifali Mah.,11.950.000 ₺,155,130,10-15,3+1,1,Yerden Isıtma,Hayır,https://www.remax.com.tr/portfoy/P16085155
MEHMET AKIF MAH. ŞANLI CADDESI 3+1 BALKONLU ÇAĞRI SITESI SATILIK,Portföy No: P83154112,02-13-2025,İstanbul Anadolu / Ümraniye/ Mehmet Akif Mah.,3.578.000 ₺,130,105,26-30,3+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P83154112
NISH ADALAR SİTESİ 45 BLOK 2+1A OTURUMA HAZIR SATILIK DAİRE,Portföy No: P75546331,02-13-2025,İstanbul Anadolu / Maltepe/ Zümrütevler Mah.,**** ₺,123,91,10-15,2+1,5,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P75546331
"Muhteşem lokasyonda,deniz manzaralı,A plus3+1 satılık dubleks",Portföy No: P20816245,02-13-2025,İstanbul Anadolu / Maltepe/ İdealtepe Mah.,17.500.000 ₺,220,190,4,3+1,5,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P20816245
PENDIK SAPANBAĞLAR MAHALLESINDE SATILIK 3+1 DAIRE.,Portföy No: P65730024,02-13-2025,İstanbul Anadolu / Pendik/ Sapan Bağları Mah.,3.150.000 ₺,115,95,21-25,3+1,6,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P65730024
ACİL SANCAKTEPE FATİH MAHALLESİ ÇOK UYGUN SATILIK 2+1 YÜKSEK GİRİŞ,Portföy No: P81162465,02-13-2025,İstanbul Anadolu / Sancaktepe/ Fatih Mah.,2.150.000 ₺,120,105,7,2+1,Yüksek Giriş,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P81162465
PENDİK BATI MAH MERKEZİ ARAKAT 3+1 SATILIK DAİRE,Portföy No: P02067315,02-13-2025,İstanbul Anadolu / Pendik/ Batı Mah.,6.600.000 ₺,115,95,4,3+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P02067315
"Bağdat Caddesi Şaşkınbakkal'da, Caddeye Cepheli Harika 3+1",Portföy No: P00186348,02-13-2025,İstanbul Anadolu / Kadıköy/ Suadiye Mah.,24.750.000 ₺,130,100,5,3+1,5,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P00186348
KARTAL' DA METROYA YAKIN ARA KAT 125m² 3+1 SATILIK DAİRE,Portföy No: P23007466,02-13-2025,İstanbul Anadolu / Kartal/ Esentepe Mah.,5.200.000 ₺,125,105,10-15,3+1,5,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P23007466
REMAX HERMES SANCAKTEPE SAFA MAH. SIFIR GIBI 3+1 TERS DUBLEKS,Portföy No: P20048823,02-13-2025,İstanbul Anadolu / Sancaktepe/ Safa Mah.,2.750.000 ₺,110,90,4,3+1,Yüksek Giriş,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P20048823
AsHill'den Küçüksu Mah.Has Bahçe Konakların'da Satılık Sıfır 3+1,Portföy No: P60208140,02-13-2025,İstanbul Anadolu / Üsküdar/ Küçüksu Mah.,12.700.000 ₺,160,120,1,3+1,2,Yerden Isıtma,Hayır,https://www.remax.com.tr/portfoy/P60208140
POLAT HİLL TOWN 1 TERS DUBLEX 206 M2 5+1 SATILIK DAİRE,Portföy No: P88221151,02-13-2025,İstanbul Anadolu / Ümraniye/ Tatlısu Mah.,10.750.000 ₺,206,150,16-20,5+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P88221151
KADIKÖY EĞİTİM MAH. METROBÜSE YAKIN SATILIK 3+1 DAİRE,Portföy No: P54726242,02-13-2025,İstanbul Anadolu / Kadıköy/ Eğitim Mah.,5.500.000 ₺,150,120,26-30,3+1,2,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P54726242
UZUNAL KONUTLARI HAVUZ VE PEYZAJ MANZARALI GENİŞ 2+1 DAİRE,Portföy No: P36126158,02-13-2025,İstanbul Anadolu / Pendik/ Yenişehir Mah.,6.750.000 ₺,155,125,10-15,2+1,Yüksek Giriş,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P36126158
ACIBADEM 3+1 SATILIK 101m² BALKONLU METRO VE METROBÜSE YAKIN,Portföy No: P15326480,02-13-2025,İstanbul Anadolu / Kadıköy/ Acıbadem Mah.,4.900.000 ₺,101,80,30+,3+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P15326480
BULGURLU 2+1 ACİL SATILIK DAİRE,Portföy No: P03642620,02-13-2025,İstanbul Anadolu / Ataşehir/ Esatpaşa Mah.,3.900.000 ₺,90,75,10-15,2+1,Giriş Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P03642620
N/A,N/A,02-13-2025,İstanbul Anadolu / Kadıköy / Caferağa Mah. /,N/A,1+0,N/A,N/A,1+0,Tüm Katlar,N/A,N/A,https://www.remax.com.tr/portfoy/P23578127
"Üsküdar Tunusbağı'nda  3+1 Çift Cepheli, Şehir Manzaralı Fırsat Daire!",Portföy No: P40315834,02-13-2025,İstanbul Anadolu / Üsküdar/ Ahmediye Mah.,7.695.000 ₺,110,100,30+,3+1,5,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P40315834
HAYALİNİZDEKİ ULTRA LÜX DAİRE SATIŞTA,Portföy No: P66182550,02-13-2025,İstanbul Anadolu / Kartal/ Soğanlık Yeni Mah.,9.250.000 ₺,130,105,10-15,3+1,14,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P66182550
KARTAL YUNUS SATILIK 3+1  ARAKAT DAİRE,Portföy No: P47677410,02-13-2025,İstanbul Anadolu / Kartal/ Yunus Mah.,5.950.000 ₺,100,90,1,3+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P47677410
MALTEPE OYAK DRAGOS KONUTLARI SATILIK BAHÇELİ 1+1 DAİRE,Portföy No: P45400860,02-13-2025,İstanbul Anadolu / Maltepe/ Cevizli Mah.,8.500.000 ₺,82,52,3,1+1,2,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P45400860
Tuzla Aydınlı Yavuzhan Konaklarında Satılık 3+1 Daire,Portföy No: P07064226,02-13-2025,İstanbul Anadolu / Tuzla/ Aydınlı Mah.,7.650.000 ₺,132,110,7,3+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P07064226
TUZLA AYDINLI MH. SATILIK 2+1 AÇIK OTOPARKLI DAİRE,Portföy No: P43832172,02-13-2025,İstanbul Anadolu / Tuzla/ Aydınlı Mah.,3.950.000 ₺,95,85,6,2+1,Giriş Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P43832172
DUMANKAYA BATI KAMPÜS SİTESİ YATIRIMLIK 2+1  SATILIK FIRSAT DAİRE,Portföy No: P26842346,02-13-2025,İstanbul Anadolu / Tuzla/ Aydınlı Mah.,3.250.000 ₺,80,70,9,2+1,5,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P26842346
ATAŞEHİR-YENİSAHRA KENTSEL DÖNÜŞÜM BÖLGESİNDE YATIRIMLIK E5 YAKININDA GENÇ BİNADA GENİŞ 2+1,Portföy No: P30824567,02-13-2025,İstanbul Anadolu / Ataşehir/ Yenisahra Mah.,4.900.000 ₺,75,60,10-15,2+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P30824567
NISH ADALAR 2+1 A FULL EŞYALI YÜKSEK KİRA GETİRİLİ SATILIK DAİRE,Portföy No: P44506106,02-13-2025,İstanbul Anadolu / Maltepe/ Zümrütevler Mah.,9.300.000 ₺,123,94,10-15,2+1,4,Merkezi (Pay Ölçer),Evet,https://www.remax.com.tr/portfoy/P44506106
Sinpaş Finans Şehir Projesinde Peyzaj Cepheli 2+1 Satılık Daire,Portföy No: P67673643,02-13-2025,İstanbul Anadolu / Ümraniye/ Finanskent Mah.,12.000.000 ₺,95,65,5,2+1,7,Yerden Isıtma,Hayır,https://www.remax.com.tr/portfoy/P67673643
Üsküdar 'Da Boğaz Manzaralı 4+1 Dubleks Ve 1+1 Satılık 2 Daire,Portföy No: P30226878,02-13-2025,İstanbul Anadolu / Üsküdar/ Sultantepe Mah.,13.000.000 ₺,300,250,26-30,4+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P30226878
Remax Anı 'Dan Pendik 'Te 2+1 Satılık Daire,Portföy No: P12428708,02-13-2025,İstanbul Anadolu / Pendik/ Dumlupınar Mah.,2.500.000 ₺,70,65,10-15,2+1,Giriş Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P12428708
BEYKOZ KANLICA DA 2+1 SATILIK DAIRE,Portföy No: P22104846,02-13-2025,İstanbul Anadolu / Beykoz/ Kanlıca Mah.,6.100.000 ₺,86,75,30+,2+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P22104846
AĞAOĞLU ELTES GOLD RESIDENCE YÜKSEK KAT 2+1 SATILIK KONUT OFİS,Portföy No: P65433732,02-13-2025,İstanbul Anadolu / Ümraniye/ Madenler Mah.,5.550.000 ₺,105,88,10-15,2+1,15,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P65433732
SİNPAŞ AQUA MANORS SATILIK 3+1 KİLER ODALI DAİRE MÜLK SAHİBİ,Portföy No: P00207745,02-13-2025,İstanbul Anadolu / Ümraniye/ Necip Fazıl Mah.,11.100.000 ₺,150,126,16-20,3+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P00207745
REMAX HERMES SİNPAŞ LAGÜN LİLYUM TERAS 4+1 209m2,Portföy No: P88167106,02-13-2025,İstanbul Anadolu / Sancaktepe/ Abdurrahmangazi Mah.,17.900.000 ₺,209,185,10-15,4+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P88167106
ELİT GRAND PALAS'DA 7. KAT FULL EŞYALI ŞEREFIYELI 1+0 STÜDYO DAIRE,Portföy No: P34773481,02-13-2025,İstanbul Anadolu / Pendik/ Yenişehir Mah.,3.150.000 ₺,45,25,8,1+0,7,Merkezi (Pay Ölçer),Evet,https://www.remax.com.tr/portfoy/P34773481
Acıbademde Aydınlık Ferah Keyifli Daire,Portföy No: P07860204,02-13-2025,İstanbul Anadolu / Kadıköy/ Acıbadem Mah.,5.100.000 ₺,135,105,30+,3+1,Giriş Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P07860204
ESENKENT EMEKPARK2 SİTESİNDE SATILIK MANZARALI 2+1 DAİRE,Portföy No: P82556783,02-13-2025,İstanbul Anadolu / Maltepe/ Esenkent Mah.,8.450.000 ₺,89,72,1,2+1,5,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P82556783
ESENKENT EMEKPARK2 SİTESİNDE DENİZ MANZARALI 4+1 DUBLEKS DAİRE,Portföy No: P22524220,02-13-2025,İstanbul Anadolu / Maltepe/ Esenkent Mah.,15.200.000 ₺,180,151,1,2+1,Çatı Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P22524220
ESENKENT EMEKPARK2 SİTESİNDE NET 72m2 SATILIK 2+1 DAİRE,Portföy No: P82564763,02-13-2025,İstanbul Anadolu / Maltepe/ Esenkent Mah.,8.400.000 ₺,89,72,1,2+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P82564763
YENİŞEHİR DE 3+1 FUL YAPILI SATILIK DAİRE,Portföy No: P41716775,02-13-2025,İstanbul Anadolu / Pendik/ Yenişehir Mah.,5.375.000 ₺,130,110,16-20,3+1,5,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P41716775
SULTANBEYLI ADIL MAH MERKEZ YAKIN SATILIK 3+1 ÇATI DUBLEKS DAIRE,Portföy No: P76128086,02-13-2025,İstanbul Anadolu / Sultanbeyli/ Adil Mah.,4.850.000 ₺,130,100,7,3+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P76128086
"Sultanbeyli Mimar Sinan Mahallesi’nde 3+1, Teraslı Ferah Daire",Portföy No: P31258088,02-13-2025,İstanbul Anadolu / Sultanbeyli/ Mimar Sinan Mah.,4.130.000 ₺,115,93,1,3+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P31258088
HARİKA KONUMDA 2025 NİSAN TESLİM PROJEDEN ARA KAT 1+1 (50M2 NET),Portföy No: P22021862,02-13-2025,İstanbul Anadolu / Üsküdar/ Barbaros Mah.,**** ₺,63,50,1,1+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P22021862
