Advertisement,Advertisement No,Advertisement Date,City,District,Neighborhood,Price (try),Gross Area (m2),Net Area (m2),Building Age,Room,Floor,Heating,Furnished,Advertisement Link
BAĞDAT CADDESİ ŞAŞKINBAKKAL  M&S ' a 3. SIFIR BİNADA 3+1,P04418675,2025-02-13,İstanbul,Kadıköy, Suadiye,32000000,130,110,1,3+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P04418675
KARTAL CUMHURİYET MAHALLESİNDE 2+1 SATILIK DAİRE,P02630115,2025-02-13,İstanbul,Kartal, Cumhuriyet,3950000,85,70,6,2+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P02630115
Pendik Sapanbağlarında Satılık daire,P80750603,2025-02-13,İstanbul,Pendik, Sapan Bağları,7000000,138,120,10-15,3+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P80750603
KONAK 360 KARTAL | KREDİYE UYGUN SIFIR 3+1 SATILIK LÜKS DAİRELER,P41056733,2025-02-13,İstanbul,Kartal, Gümüşpınar,6700000,125,115,1,3+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P41056733
Üsküdar Yeni Çamlıca Sitesinde Balkonlu 3+1 Satılık Daire,P60411327,2025-02-13,İstanbul,Üsküdar, Burhaniye,5750000,115,100,21-25,3+1,Giriş Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P60411327
MALTEPE GİRNE'DE SATILIK 2+1 ARA KAT DAİRE,P76443767,2025-02-13,İstanbul,Maltepe, Girne,4650000,80,60,1,2+1,3,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P76443767
MALTEPE MİNİBÜS YOLU ÜZERİNDE EMSALSİZ EYLÜL TESLİM 3+1 DAİRE,P78871383,2025-02-13,İstanbul,Maltepe, Cevizli,10250000,120,95,0,3+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P78871383
SANCAKTEPE FATİH MAH. 3+1 BİR DAİRE FİYATINA İKİ DAİRE,P75054131,2025-02-13,İstanbul,Sancaktepe, Fatih,3100000,115,90,5,3+1,Yüksek Giriş,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P75054131
KATTA TEK- CADDEBOSTAN SAHİL KISMINDA SATILIK 4+1,P38225237,2025-02-13,İstanbul,Kadıköy, Caddebostan,21500000,165,145,30+,4+1,2,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P38225237
KAYNARCA MAHALLESİNDE DUBLEKS 3+2 MASRAFSIZ SATILIK DAİRE,P53245806,2025-02-13,İstanbul,Pendik, Kaynarca,5650000,185,135,16-20,3+2,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P53245806
KARTAL NEXUS'DA DENİZ VE ADALAR MANZARALI 1+1 SATILIK DAİRE,P10164271,2025-02-13,İstanbul,Kartal, Hürriyet,4450000,85,60,8,1+1,9,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P10164271
ATAŞEHİR ESATPAŞA EGAL SİTESİNDE 90 m2 NET 3+1 SATILIK DAİRE,P03616465,2025-02-13,İstanbul,Ataşehir, Esatpaşa,8400000,120,90,9,3+1,2,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P03616465
ÇEKMEKÖY SULTANÇİFTLİĞİ MAH. ÇINAR EVLERİNDE SATILIK 3+1 DAİRE,P20173507,2025-02-13,İstanbul,Çekmeköy, Sultançiftliği,5500000,135,107,16-20,3+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P20173507
BOSTANCI LUNAPARK KARŞISI KABA İNŞAATI BİTMİŞ PROJEDEN SATILIK 3+1 DAİRE,P73550831,2025-02-13,İstanbul,Kadıköy, Bostancı,11250000,100,80,2,3+1,7,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P73550831
Küçükyalı Marmaraya Yakın Yeni Binada Luks 2+1,P56134434,2025-02-13,İstanbul,Maltepe, Küçükyalı,7600000,90,75,8,2+1,Giriş Katı,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P56134434
KARTAL PETROLİŞ MH İNÖNÜ CD ÜSTÜ 3+1 SATILIK DAİRE,P23505888,2025-02-13,İstanbul,Kartal, Petrol iş,5500000,127,100,16-20,3+1,5,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P23505888
MALTEPE MERKEZDE MARMARAYIN YANIBAŞINDA ÇİFT BALKONLU BÜYÜK 3+1 DAİRE FIRSATI,P05661272,2025-02-13,İstanbul,Maltepe, Bağlarbaşı,6500000,140,125,26-30,3+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P05661272
Remax Ahmet Şimşek Kartal Soğanlık Satılık 120 m2 3+1 Daire,P33146063,2025-02-13,İstanbul,Kartal, Soğanlık Yeni,4925000,120,100,10-15,3+1,Giriş Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P33146063
Ferah Mahallesi 'Nde Çamlıca Cami Manzaralı 4+2 Satılık Dubleks Daire,P20383640,2025-02-13,İstanbul,Üsküdar, Ferah,10500000,200,160,16-20,4+2,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P20383640
ATAŞEHŞİR KAYIŞDAĞI MAH. 2+1 SATILIK DAİRE,P22178467,2025-02-13,İstanbul,Ataşehir, Kayışdağı,3800000,120,90,21-25,2+1,Giriş Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P22178467
KOŞUYOLU BAHAR SİTESİNDE 145m² BAKIMLI ARA KAT KÖŞE DAİRE,P35767232,2025-02-13,İstanbul,Üsküdar, Barbaros,8250000,145,125,30+,3+1,3,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P35767232
KALAMIŞ KOLEJ SOKAKTA PANORAMİK ŞEHİR MANZARALI SATILIK DUBLEKS,P43786056,2025-02-13,İstanbul,Kadıköy, Zühtüpaşa,22000000,220,180,7,4+1,12,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P43786056
REMAX Ataşehir ODA KULE Residance EBEVEYN B. İSKANLI BALKONLU,P84065481,2025-02-13,İstanbul,Ataşehir, Küçükbakkalköy,11500000,116,106,7,2+1,8,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P84065481
Maltepe cevizlide Oyak Dragos sitesinde muhteşem yatırım fırsatı çift 1+1 satılık daire,P88641612,2025-02-13,İstanbul,Maltepe, Cevizli,7250000,78,48,3,1+1,10,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P88641612
BAĞDAT CADDESİ ÜZERİNDE 2+1 SATILIK DAİRE,P55448842,2025-02-13,İstanbul,Kadıköy, Zühtüpaşa,9450000,95,77,30+,2+1,1,Doğalgaz Sobası,Hayır,https://www.remax.com.tr/portfoy/P55448842
Çekmeköy Merkez Mahallesi'nde Satılık 2+1 Ters Dubleks Daire,P58078470,2025-02-13,İstanbul,Çekmeköy, Merkez,2800000,110,85,10-15,2+1,Giriş Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P58078470
ERDAL TURAN'DAN METROYA YAKIN MERKEZİ LOKASYONDA SİTE İÇİ 3+1,P35588263,2025-02-13,İstanbul,Çekmeköy, Çamlık,4750000,125,100,26-30,3+1,1,Doğalgaz (Kombi),Evet,https://www.remax.com.tr/portfoy/P35588263
YENİDOĞANDA HAVUZLU SİTEDE SATILIK KULLANIŞLI 3+1 DAİRE,P75652617,2025-02-13,İstanbul,Sancaktepe, Yenidoğan,5650000,120,100,10-15,3+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P75652617
ÜSKÜDAR BARBAROS'TA OTOPARKLI VE BAHÇELİ MÜSTAKİL 3+1,P32743344,2025-02-13,İstanbul,Üsküdar, Barbaros,15750000,160,100,30+,3+1,Tüm Katlar,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P32743344
TUZLA POSTANE MAH. MANZARALI 3+1 DUBLEKS DAİRE,P04538655,2025-02-13,İstanbul,Tuzla, Postane,12250000,140,120,1,3+1,2,Yerden Isıtma,Hayır,https://www.remax.com.tr/portfoy/P04538655
Site Mahallesi Hatboyu Caddesine Yakın Merkezi Konumlu Ferah Daire,P30573367,2025-02-13,İstanbul,Ümraniye, Site,4200000,135,105,21-25,3+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P30573367
BOSTANCIDA KENTSEL DÖNÜŞÜME UYGUN FIRSAT YATIRIMLIK 3+1 DAİRE,P31525227,2025-02-13,İstanbul,Kadıköy, Bostancı,6950000,145,120,30+,3+1,2,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P31525227
FEYZULLAH CADDESİNE CEPHE EBEVEYOLU BANYOLU 2+1 SATILIK DAİRE..85 M2 NET..,P32544388,2025-02-13,İstanbul,Maltepe, Bağlarbaşı,6300000,115,85,8,2+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P32544388
"RESİM İSTANBUL SİTESİ 1+1 DEN 2,5+1 E DÖNÜŞTÜRÜLMÜŞ DEKORASYONLU PENTHOUSE",P72410518,2025-02-13,İstanbul,Sancaktepe, Fatih,5950000,120,100,9,2.5+1,13,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P72410518
Kartal Esentepe Satılık 3+1 İskanlı Arakat Daire,P46755681,2025-02-13,İstanbul,Kartal, Esentepe,6000000,110,75,10-15,3+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P46755681
"KURTKÖY 360 SİTESİNDE 30.000 (₺) KİRACILI YATIRIMLIK 3,5+1 DAİRE",P58654518,2025-02-13,İstanbul,Pendik, Çamlık,8900000,145,109,6,3.5+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P58654518
Kasrı Lena Sitesinde 2+1 Satılık Daire,P77078867,2025-02-13,İstanbul,Sancaktepe, Eyüp Sultan,7000000,118,80,4,2+1,8,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P77078867
NARMANLI 2.ETAP ARA KAT EBV. BANYOLU BALKONLU 3+1 SATILIK DAİRE,P87823632,2025-02-13,İstanbul,Tuzla, Aydınlı,5250000,110,88,1,3+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P87823632
KADIKÖY SAHRAYİCEDİT MAH. PRESTİJLİ APARTMANDA SATILIK 2+1,P07345200,2025-02-13,İstanbul,Kadıköy, Sahrayıcedit,9950000,80,73,10-15,2+1,7,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P07345200
SULTANBEYLİ MERKEZDE GENİŞ BAKIMLI 3+1 SATILIK DAİRE,P08283126,2025-02-13,İstanbul,Sultanbeyli, Mehmet Akif,5500000,146,130,10-15,3+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P08283126
REMAX MASA ZEYNEPKAMİL BOĞAZ MANZARALI 3+2 170M2 SATILIK DUBLEKS,P05786305,2025-02-13,İstanbul,Üsküdar, Zeynep Kamil,15500000,170,135,2,3+2,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P05786305
DALYAN SAHİLDE SATILIK LÜKS TERS DUBLEKS DAİRE,P30525648,2025-02-13,İstanbul,Kadıköy, Caddebostan,35000000,135,102,2,3+1,Yüksek Giriş,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P30525648
Kurtköy'ün  En İyi Konumunda Boş 3+2 Satılık Dubleks,P63616135,2025-02-13,İstanbul,Pendik, Kurtköy,8900000,210,170,16-20,3+2,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P63616135
GÖZTEPE MİNİBÜS CADDESİNE 100 METRE GÜL KONAKLARINDA 2+1,P71051253,2025-02-13,İstanbul,Kadıköy, Merdivenköy,9000000,80,65,6,2+1,6,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P71051253
REMAX AİR DEN ELİT METRO SİTESİNDE GÜNEY CEPHE SATILIK 2+1 SIFIR DAİRE,P50063167,2025-02-13,İstanbul,Pendik, Şeyhli,4600000,66,55,1,2+1,6,Yerden Isıtma,Hayır,https://www.remax.com.tr/portfoy/P50063167
SULTANBEYLİ SİTE İÇERİSİ 1.SINIF İŞÇİLİK VE KALİTEDE 140M² 3+1,P52636108,2025-02-13,İstanbul,Sultanbeyli, Mimar Sinan,5050000,140,100,1,3+1,2,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P52636108
PENDİK/ESENYALI’DA SATILIK 3+1 DAİRE,P51560518,2025-02-13,İstanbul,Pendik, Ahmet Yesevi,2300000,100,90,21-25,3+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P51560518
KADIKÖY MERDİVENKÖY MAH. 3+1 SATILIK DAİRE,P11387451,2025-02-13,İstanbul,Kadıköy, Merdivenköy,6200000,130,110,26-30,3+1,3,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P11387451
PENDİK VELİBABA'DA 4+2 SATILIK DUBLEX DAİRE,P38545385,2025-02-13,İstanbul,Pendik, Velibaba,5200000,190,170,16-20,4+2,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P38545385
Remax'dan MALTEPE KÜÇÜKYALI'da 3+2 TERASLI DUBLEKS SIFIR BİNA,P60545653,2025-02-13,İstanbul,Maltepe, Çınar,10000000,165,145,1,3+2,5,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P60545653
FEYZULLAH CADDESİNE CEPHE MÜKEMMEL KONUMDA E.BV BANYOLU 2+1 SATILIK DAİRE,P32138324,2025-02-13,İstanbul,Maltepe, Bağlarbaşı,6500000,115,85,8,2+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P32138324
ÜMRANİYE İSTİKLAL MAH. ŞAİR NESİMİ SOKAKTA SATILIK 2+1,P35058147,2025-02-13,İstanbul,Ümraniye, İstiklal,2900000,80,70,30+,2+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P35058147
KARTAL/YUKARI MAHALLESİ DENİZ MANZARALI SATILIK 3+1 LÜKS DAİRE,P04381616,2025-02-13,İstanbul,Kartal, Yukarı,6250000,150,130,10-15,3+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P04381616
TUZLA HAYAT ELİT SİTESİNDE TAPULU SATILIK 140m2 3+1 DAİRE,P10430870,2025-02-13,İstanbul,Tuzla, İstasyon,4400000,160,140,21-25,3+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P10430870
Çekmeköy Mimar Sinan Mh.Satılık 2+1 Dubleks Daire,P08564704,2025-02-13,İstanbul,Çekmeköy, Mimar Sinan,5000000,100,85,10-15,2+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P08564704
Kasrı Lenada 4+1 Satılık Daire,P63412100,2025-02-13,İstanbul,Sancaktepe, Eyüp Sultan,15200000,236,180,3,4+1,Bahçe Katı,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P63412100
Çekmeköy Tepe Aura Sitesinde 160 m2 Satılık 3+1 Daire,P50584337,2025-02-13,İstanbul,Çekmeköy, Sırapınar,20500000,180,160,5,3+1,2,Yerden Isıtma,Hayır,https://www.remax.com.tr/portfoy/P50584337
BURAK TOK'TAN ÜSKÜDAR PRESTIGE KONAKLARINDA LÜKS BAHÇE DUBLEKSİ,P55260308,2025-02-13,İstanbul,Üsküdar, Sultantepe,45000000,237,182,9,3+1,Giriş Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P55260308
YEŞİLBAĞLAR TURGUTPAŞA CADDESİ 3+1 3 YILLIK BİNA,P53258245,2025-02-13,İstanbul,Pendik, Yeşilbağlar,6500000,85,75,4,3+1,5,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P53258245
ATAŞEHİR UPHILL TOWERS SATILIK DAİRE,P45760723,2025-02-13,İstanbul,Ataşehir, Barbaros,14750000,120,90,16-20,2+1,3,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P45760723
İSTANBUL KARTAL UĞURMUMCU MAHALLESİ SATILIK 2+1 DAİRE,P58073376,2025-02-13,İstanbul,Kartal, Uğur Mumcu,3600000,90,75,26-30,2+1,5,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P58073376
Çekmeköy Baharevleri Sitesinde 3+1 Satılık Daire,P87462436,2025-02-13,İstanbul,Çekmeköy, Çamlık,6700000,130,115,21-25,3+1,6,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P87462436
CİHAN ALBAYRAK'TAN NISH ADALAR 'DA DENİZ MANZARLI TERASLI 3+1A,P62567467,2025-02-13,İstanbul,Maltepe, Zümrütevler,19100000,205,176,10-15,3+1,9,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P62567467
ÜSKÜDAR BURHANİYE DE YATIRIMLIK 2+1 DAİRE,P81836885,2025-02-13,İstanbul,Üsküdar, Burhaniye,3700000,120,110,30+,2+1,Giriş Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P81836885
KARTAL YAKACIK ÇARŞI DA SIFIR HİÇ KULLANILMAMIŞ TERASLI 2+1DAİRE,P54166186,2025-02-13,İstanbul,Kartal, Yakacık Çarşı,4270000,84,69,3,2+1,1,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P54166186
TUZLA AYDINLIDA MERKEZI KONUMDA SATILIK 2+1 DAIRE,P06620511,2025-02-13,İstanbul,Tuzla, Aydınlı,3640000,85,75,4,2+1,3,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P06620511
ÜSKÜDAR'DA METROYA 10DK MESAFEDE GENÇ BİNADA GENİŞ TERS DUBLEKS,P15067432,2025-02-13,İstanbul,Üsküdar, Ferah,4900000,115,90,10-15,3+1,1. Bodrum,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P15067432
ÜSKÜDAR-KOŞUYOLU BARBAROSTA  2+1  BAHÇE KATI,P14682561,2025-02-13,İstanbul,Üsküdar, Barbaros,4100000,85,70,26-30,2+1,Bahçe Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P14682561
PENDİK YEŞİLBAĞLAR 3+1 6.KAT 3 YILLIK BİNADA,P10500874,2025-02-13,İstanbul,Pendik, Yeşilbağlar,6600000,85,75,4,3+1,6,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P10500874
KINALIADA MERKEZDE SAHİLE 1. PARALEL İÇİ TEMİZ FERAH DAİRE,P24747182,2025-02-13,İstanbul,Adalar, Kınalıada,6750000,110,90,26-30,3+1,1,Klima,Evet,https://www.remax.com.tr/portfoy/P24747182
ÜSKÜDAR SALACAK MAH. SAHİLE YAKIN GENİŞ YATIRIMLIK 3+1 DAİRE,P02567120,2025-02-13,İstanbul,Üsküdar, Salacak,7500000,140,125,30+,3+1,Bahçe Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P02567120
ŞERİFALİ VURAL SİTESİ FİNANS MERKEZİNE KOMŞU 3+1 SATILIK DAİRE,P01851552,2025-02-13,İstanbul,Ümraniye, Tatlısu,3800000,105,95,26-30,3+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P01851552
Ümraniye Çakmak'da Çift Girişli 210 m2 Satılık 4+2 Çatı Dubleks,P27711555,2025-02-13,İstanbul,Ümraniye, Çakmak,6300000,210,165,10-15,4+2,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P27711555
ÜSKÜDAR ACIBADEM DE SIFIR BİNADA LÜKS 4+1 DUBLEKS TERASLI DAİRE,P27062252,2025-02-13,İstanbul,Üsküdar, Acıbadem,15500000,165,140,1,4+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P27062252
Pendik Ahmet Yesevi Mahallesi Satılık 3+1 Sıfır Daire,P10351526,2025-02-13,İstanbul,Pendik, Ahmet Yesevi,4400000,110,100,1,3+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P10351526
PENDİK AHMET YESEVİ CADDESİNDE SATILIK 3+1 SIFIR DAİRE Favorilerime Ekle Yazdır,P10714464,2025-02-13,İstanbul,Pendik, Ahmet Yesevi,4400000,110,100,1,3+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P10714464
Vera Çengelköy Sitesinde Lüks 2+1 Satılık Daire,P28571476,2025-02-13,İstanbul,Üsküdar, Çengelköy,15750000,116,82,0,2+1,Giriş Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P28571476
ADATEPE SAHİLDE YENİ BİNADA MUHTEŞEM TERASLI LÜKS DUBLEKS DAİRE,P32625321,2025-02-13,İstanbul,Maltepe, Feyzullah,20500000,200,150,5,,4,Yerden Isıtma,Hayır,https://www.remax.com.tr/portfoy/P32625321
PENDİK TURGUTPAŞA CADDESİNDE 3 YILLIK BİNADA 3+1,P02476083,2025-02-13,İstanbul,Pendik, Yeşilbağlar,6500000,85,75,3,3+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P02476083
Ümraniye Çamlık Mah. Butik binada Açık Otoparklı Ara kat 2+1 90m2,P07660404,2025-02-13,İstanbul,Ümraniye, Çamlık,5000000,90,65,10-15,2+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P07660404
SAHRAYICEDİT TE ATATÜRK CADDESİNE 3 BİNA DA SATILIK 3+1,P52874600,2025-02-13,İstanbul,Kadıköy, Sahrayıcedit,11000000,125,110,26-30,3+1,13,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P52874600
FİNANSKENT'E KOMŞU MERKEZİ KONUMDA GENÇ BİNADA 3+1 SATILIK DAİRE,P72058307,2025-02-13,İstanbul,Ümraniye, Site,6200000,110,85,16-20,3.5+1,9,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P72058307
MALTEPE NARCITY KISMİ DENİZ VE ORMAN MANZARALI SATILIK 4+1 DAİRE,P80121163,2025-02-13,İstanbul,Maltepe, Başıbüyük,15500000,173,151,16-20,4+1,6,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P80121163
"CADDEBOSTAN, 2+1 SATILIK SIFIR DAİRE",P77644022,2025-02-13,İstanbul,Kadıköy, Caddebostan,12500000,90,64,1,2+1,Yüksek Giriş,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P77644022
ÜSKÜDAR MERKEZDE İCADiYE MAH GENİŞ 2+1,P36055575,2025-02-13,İstanbul,Üsküdar, İcadiye,3200000,100,85,30+,2+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P36055575
"Kadıköy, Caddebostan, Bağdat Caddesi, Ömerpaşa Katta Tek 4+1",P56061232,2025-02-13,İstanbul,Kadıköy, Göztepe,52500000,218,168,1,4+1,7,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P56061232
ATAŞEHİR İÇERENKÖY'DE 50 M2 NET 1+1 SATILIK DAİRE,P84526162,2025-02-13,İstanbul,Ataşehir, İçerenköy,4400000,70,50,16-20,1+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P84526162
"ÇEKMEKÖY ALEMDAĞ DEKON SİLVA'DA BOŞ, PEYZAJ CEPHE, İSKANLI, SATILIK 2+1 DAİRE",P04023677,2025-02-13,İstanbul,Çekmeköy, Alemdağ,7000000,90,75,9,2+1,4,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P04023677
ÇEKMEKÖY TAŞDELEN MAH PAYİDAR SİT DE SATILIK 2+1 DAİRE ( BAHÇELİ ),P02750725,2025-02-13,İstanbul,Çekmeköy, Taşdelen,6750000,120,100,5,2+1,Bahçe Katı,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P02750725
KARTAL PETROLİŞ MH BAHÇE KATI 3+1 SATILIK DAİRE,P02488116,2025-02-13,İstanbul,Kartal, Petrol iş,3600000,125,96,30+,3+1,Bahçe Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P02488116
PENDİK KAYNARCA AYDINLI YOLU CAD. ÇARŞIYA SAHİLE YAKIN 2+1 SATILIK,P67285256,2025-02-13,İstanbul,Pendik, Kaynarca,2550000,90,75,26-30,2+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P67285256
SANCAKTEPE OSMANGAZİ MAH. ÜST DUBLEKS İKİ AYRI GİRİŞ İSKANLI,P40257565,2025-02-13,İstanbul,Sancaktepe, Osmangazi,3700000,120,100,6,3+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P40257565
Altıntepe de 2+1 Satılık Dubleks Daire,P37250155,2025-02-13,İstanbul,Maltepe, Altıntepe,7650000,100,85,1,2+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P37250155
Kartal Hürriyet mahallesinde  2+1 Satılık Daire,P83526248,2025-02-13,İstanbul,Kartal, Hürriyet,5200000,120,90,2,2+1,Yüksek Giriş,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P83526248
ÇEKMEKÖY TAŞDELEN MAH PAYİDAR SİT SATILIK 3+1 DAİRE ( 170 M2 ),P84700331,2025-02-13,İstanbul,Çekmeköy, Taşdelen,9250000,170,143,5,3+1,6,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P84700331
SUADİYE KAPTAN ARİF'TE 2+1 BALKONLU SATILIK SIFIR DAİRE,P58005462,2025-02-13,İstanbul,Kadıköy, Suadiye,12750000,85,62,0,2+1,8,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P58005462
MEDENİYETLER ÇENGELKÖY 3+1 SATILIK DAİRE,P70475644,2025-02-13,İstanbul,Üsküdar, Güzeltepe,23000000,223,120,1,3+1,4,Yerden Isıtma,Hayır,https://www.remax.com.tr/portfoy/P70475644
Ataşehir İçerenköy Karslı Ahmet Caddesi Yeni Bina Satılık Daire,P55331376,2025-02-13,İstanbul,Ataşehir, İçerenköy,12950000,100,85,1,3+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P55331376
Kartal Hürriyet Mahallesinde 4+1 Dubleks Daire,P42053785,2025-02-13,İstanbul,Kartal, Hürriyet,8000000,250,220,1,4+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P42053785
Fırsat Atakent Reşitpaşa Cadde Üzeri 3+1 Ara Kat Açık Otoparklı,P77184433,2025-02-13,İstanbul,Ümraniye, Atakent,4900000,110,100,30+,3+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P77184433
CİHAN ALBAYRAK'TAN NISH ADALAR 'DA DENİZ MANZARLI BAHÇE KATI 4+1,P74265512,2025-02-13,İstanbul,Maltepe, Zümrütevler,23500000,208,156,10-15,4+1,Bahçe Katı,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P74265512
Osmanağa Mahallesi,P05861808,2025-02-13,İstanbul,Kadıköy, Osmanağa,6500000,48,42,4,1+1,5,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P05861808
ŞILE SAHIL KÖYDE SATILIK BAHÇE KULANIMLI 2+1 MÜSTAKİL DAİRE,P10041347,2025-02-13,İstanbul,Şile, Sahilköy,5550000,120,100,21-25,2+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P10041347
